Seccion;Titulos;Copete;URLS
Deportes;Gimnasia y Tiro perdió en el Gigante del Norte: cuál fue la última derrota antes de Temperley;Tomás Attis, actual jugador del millonario, había marcado dos tantos para Sportivo Belgrano de San Francisco.  Tuvieron que pasar casi dos años para que el albo vuelva a caer en casa.;https://www.eltribuno.com/deportes/2024-5-17-17-33-0-la-ultima-derrota-de-gimnasia-antes-de-temperley-la-goleada-de-sportivo-belgrano-en-2022
Deportes;Así ha sido el fuerte accidente de Fernando Alonso en Imola;Se ha ido contra el muro en el tercer libre del GP de la Emilia Romagna. En Aston Martin tienen que trabajar a todo ritmo para estar listos para la clasificación;https://www.larazon.es/https://www.larazon.es/deportes/asi-sido-fuerte-accidente-fernando-alonso-imola_2024051866489abdbb923a00010e2cc3.html
Deportes;Jesús Navas renueva con el Sevilla y al mismo tiempo anuncia su retirada;El jugador y el club de Nervión han acordado que siga seis meses más y luego cuelgue las botas vestido de sevillista;https://www.larazon.es/https://www.larazon.es/deportes/jesus-navas-renueva-sevilla-mismo-tiempo-anuncia-retirada_202405186648a0052241060001d112e1.html
Deportes;Ancelotti anuncia a Lunin para Villarreal y lo que tiene pensado para la final de la Champions;El entrenador del Real Madrid confirmó la titularidad de Lunin y de Militao en La Cerámica para el penúltimo partido de Liga;https://www.larazon.es/https://www.larazon.es/deportes/ancelotti-anuncia-lunin-villarreal-que-tiene-pensado-final-champions_202405186648909c2dc8ee0001870897.html
Deportes;La inusual autocrítica de Diego Martínez tras el triunfo que se le escapó a Boca ante Fortaleza: “Soy el mayor responsable”;Al Xeneize le empataron sobre el final tras una pelota parada a favor y ya no depende de sí mismo para avanzar a los octavos de final de la Copa Sudamericana;https://www.infobae.com/deportes/2024/05/16/la-inusual-autocritica-de-diego-martinez-tras-el-triunfo-que-se-le-escapo-a-boca-ante-fortaleza-soy-el-mayor-responsable/
Deportes;Estallaron los memes por el empate que sufrió Boca ante Fortaleza: de los jugadores “verdes” a los festejos de los hinchas de River;El elenco brasileño se lo igualó en la última jugada y el Xeneize ahora no depende de sí mismo para clasificar a los octavos de la Copa Sudamericana. Así reaccionaron en las redes;https://www.infobae.com/deportes/2024/05/16/estallaron-los-memes-por-el-empate-que-sufrio-boca-ante-fortaleza-de-los-jugadores-verdes-a-los-festejos-de-los-hinchas-de-river/
Deportes;Tras el inoportuno empate ante Fortaleza, qué necesita Boca Juniors para pasar a los octavos de final de la Copa Sudamericana;El equipo Xeneize deberá ganar en la última fecha y esperar una derrota de Fortaleza para meterse entre los 16 mejores del torneo. De todos modos, no puede perder si pretende seguir en carrera;https://www.infobae.com/deportes/2024/05/16/tras-el-inoportuno-empate-ante-fortaleza-que-necesita-boca-juniors-para-pasar-a-los-octavos-de-final-de-la-copa-sudamericana/
Deportes;La polémica en Boca-Fortaleza: la lupa sobre el penal no sancionado a Cavani, que terminó con una media rota por el golpe;El uruguayo mandó un centro y recibió la infracción de su marcador. El análisis y qué dice el reglamento;https://www.infobae.com/deportes/2024/05/16/la-polemica-en-boca-fortaleza-la-lupa-sobre-el-penal-no-sancionado-a-cavani-que-termino-con-una-media-rota-por-el-golpe/
Deportes;Los cuatro errores de Boca Juniors que propiciaron el empate de Fortaleza por la Copa Sudamericana;El Xeneize cometió un pecado imperdonable en la alta competencia y el elenco brasileño se lo hizo pagar caro para complicar seriamente su clasificación a los octavos de final del certamen;https://www.infobae.com/deportes/2024/05/16/los-cuatro-errores-de-boca-juniors-que-propiciaron-el-empate-de-fortaleza-por-la-copa-sudamericana/
Deportes;Boca Juniors sufrió un impensado empate 1-1 ante Fortaleza y se complicó en la Copa Sudamericana;El Xeneize tenía todo para ganarlo gracias al gol de Cavani, pero en la última jugada sufrió la igualdad de Kervin Andrade y ya no depende de sí mismo para clasificar a los octavos;https://www.infobae.com/deportes/2024/05/15/boca-juniors-va-por-el-liderazgo-de-su-zona-de-sudamericana-ante-fortaleza-en-vivo-hora-tv-y-formaciones/
Deportes;Taco-caño de Zenón, asistencia de Blanco y definición de Cavani: la secuencia del golazo con el que Boca abrió el marcador contra Fortaleza;En el duelo por el Grupo D de la Copa Sudamericana, el Xeneize logró quebrar la resistencia del equipo brasileño gracias a una jugada colectiva de enorme factura;https://www.infobae.com/deportes/2024/05/16/taco-cano-de-zenon-asistencia-de-blanco-y-definicion-de-cavani-la-secuencia-del-golazo-con-el-que-boca-abrio-el-marcador-contra-fortaleza/
Deportes;Fortaleza se lo empató a Boca sobre el final y sigue puntero en el grupo D de la Copa Sudamericana;Fecha 5;https://www.c5n.com/deportes/boca-fortaleza-copa-sudamericana-2024-resultado-goles
Deportes;Liga Profesional: se conoció cuándo se jugará la última fecha antes de la Copa América;Fixture Se trata de la quinta jornada del torneo. Boca recibirá a Vélez e Independiente a Banfield, mientras que River visitará a Deportivo Riestra, Racing a Lanús y San Lorenzo a Unión.;https://www.c5n.com/deportes/liga-profesional-se-conocio-cuando-se-jugara-la-ultima-fecha-antes-la-copa-america-n158269
Deportes;Sin Messi, el Inter Miami igualó 0-0 en el clásico ante Orlando City y es el único líder de la Conferencia Este;Las Garzas no se sacaron diferencias ante Los Leones por la fecha 13 de la MLS, pero el punto ganado le aseguró seguir como puntero en soledad en la tabla;https://www.infobae.com/deportes/2024/05/15/con-messi-en-duda-el-inter-miami-defendera-la-cima-de-la-conferencia-este-ante-su-clasico-orlando-city-en-vivo-hora-tv-y-formaciones/
Deportes;Historias de superación que convergen en la carrera 21K Yerba Buena;El lanzamiento de la tercera edición de la media maratón, que se correrá el domingo, contó con la disertación de María Inés Chrestia, Facundo Palacio, Ezequiel Chavarría y el cordobés Pablo Giesenow.;https://www.lagaceta.com.ar/nota/1035423/deportes/historias-superacion-convergen-carrera-21k-yerba-buena.html
Deportes;Todo lo que tenés que saber de la media maratón 21K Yerba Buena;Mañana se disputará la tercera edición de la carrera. Habrá tres circuitos (5, 10 y 21 kilómetros), con salida y llegada en Las Cañas. Habrá 1500 corredores en competencia.;https://www.lagaceta.com.ar/nota/1035450/deportes/todo-lo-tenes-saber-media-maraton-21k-yerba-buena.html
Deportes;Fórmula 2: Franco Colapinto pasó a un rival en la última vuelta con una maniobra al filo y logró un gran triunfo en la sprint de Imola;El piloto de Williams superó a Paul Aron en el giro final y logró su primera victoria en la categoría.El argentino había largado desde la primera fila, pero tras una mala partida había quedado tercero.Franco Colapinto;https://www.clarin.com//deportes/formula-2-franco-colapinto-sobrepaso-rival-ultima-vuelta-logro-gran-triunfo-sprint-imola_0_iAzNyyE0qE.html
Deportes;Fórmula 1: Alonso y Checo Pérez chocaron en el último entrenamiento libre y Oscar Piastri fue el más rápido en Imola;El asturiano perdió el control de su Aston Martin en la penúltima curva.El mexicano se fue contra el muro a bordo de su Red Bull.En tanto, el australiano logró el mejor tiempo.Fórmula 1;https://www.clarin.com//deportes/formula-1-alonso-checo-perez-chocaron-ultimo-entrenamiento-libre-oscar-piastri-rapido-imola_0_I2yvOpWf2V.html
Economia;“Empática y atractiva”. Una cooperativa del agro encontró una fórmula estratégica para acercarse a la sociedad;La Cooperativa Guillermo Lehmann, que el año pasado ganó el Premio LA NACION-Banco Galicia a la Excelencia Agropecuaria, creó reservas forestales, mecanismos de medición de huellas ambientales, recicla silobolsas y tiene proyectos educativos;https://www.lanacion.com.ar/economia/campo/empatica-y-atractiva-una-cooperativa-del-agro-encontro-una-formula-estrategica-para-acercarse-a-la-nid14052024/
Economia;Imán de negocios. El paraíso que atrae argentinos por sus playas y porque es fácil crear una empresa;"Es la novena economía más grande de Asia; su mayor crecimiento se registró en los 80 y en los 90";https://www.lanacion.com.ar/economia/negocios/el-paraiso-que-atrae-por-sus-playas-y-en-el-que-se-trabaja-de-lunes-a-lunes-nid14052024/
Economia;Cuidado con la mezquindad de los poderosos;Donald Trump es el ejemplo más  claro de alguien que hace  de la política algo personal,  pero no es el único;https://elpais.com/economia/negocios/2024-05-18/ojo-con-la-mezquindad-de-los-poderosos.html
Economia;La carestía del desayuno se alivia: caen el cacao, el café y el azúcar;La meteorología impredecible en África Occidental y América Central  sigue contribuyendo a la volatilidad del mercado de materias primas;https://cincodias.elpais.com/mercados-financieros/2024-05-18/la-carestia-del-desayuno-se-alivia-caen-el-cacao-el-cafe-y-el-azucar.html
Economia;Olivier Bernhard: el nuevo profeta de las zapatillas deportivas;Este exatleta suizo es uno de los cofundadores de On, la firma que quiere plantar cara a Nike o Adidas con su apuesta por la innovación;https://elpais.com/economia/negocios/2024-05-18/olivier-bernhard-el-nuevo-profeta-de-las-zapatillas-deportivas.html
Economia;Rumania teme quedarse sin mano de obra barata al incorporarse al espacio Schengen;Los empresarios advierten de un éxodo de trabajadores extranjeros con la incorporación del país al espacio europeo;https://elpais.com/economia/negocios/2024-05-18/rumania-teme-quedarse-sin-mano-de-obra-barata-al-incorporarse-al-espacio-schengen.html
Economia;Cómo es el beneficio en carnicerías, pescaderías y granjas que tiene Cuenta DNI los sábados;Atención;https://www.c5n.com/economia/como-es-el-beneficio-carnicerias-pescaderias-y-granjas-que-tiene-cuenta-dni-los-sabados-mayo-2024-n158233
Economia;ANSES: en cuánto quedó la jubilación mínima de junio 2024 con el aumento;Beneficios;https://www.c5n.com/economia/anses-cuanto-quedo-la-jubilacion-minima-junio-2024-el-aumento-n158131
Economia;El dólar blue pegó un salto: subió $30 y llegó a $1.100;Billete paralelo;https://www.c5n.com/economia/dolar-blue-hoy-cuanto-cotiza-el-15-mayo-n158163
Economia;La pobreza subió al 49% en el último semestre según estimaciones privadas;Casi 30 millones de personas;https://www.c5n.com/economia/la-pobreza-subio-al-49-el-ultimo-semestre-segun-estimaciones-privadas-n158213
Economia;Subasta en AFIP: cómo participar en el remate de autos y camionetas;Cuándo será;https://www.c5n.com/economia/subasta-afip-como-participar-el-remate-autos-y-camionetas-n158030
Economia;Por la crisis, repunta la venta de motos usadas y siguen cayendo las 0km;Datos de ACARA;https://www.c5n.com/economia/por-la-crisis-repunta-la-venta-motos-usadas-y-siguen-cayendo-las-0km-n158278
Economia;El uso de la capacidad instalada en marzo tuvo una caída del 14% interanual;Datos oficiales;https://www.c5n.com/economia/el-uso-la-capacidad-instalada-marzo-tuvo-una-caida-del-14-interanual-n158244
Economia;Las jubilaciones aumentarán un 8,83% en junio: a cuánto se irá la mínima;Lo confirmó Anses La Administración Nacional de la Seguridad Social confirmó que los haberes jubilatorios y las pensiones tendrán un incremento en el sexto mes del año.;https://www.c5n.com/economia/las-jubilaciones-aumentaran-un-883-junio-cuanto-se-ira-la-minima-n158262
Economia;La Unión Argentina de Salud eligió al reemplazo de Belocopitt: quién es Hugo Magonza;Nuevas autoridades;https://www.c5n.com/economia/la-union-argentina-salud-eligio-al-reemplazo-claudio-belocopitt-quien-es-hugo-magonza-n158089
Economia;Caputo anticipó que en abril también hubo superávit financiero;Nuevas proyecciones;https://www.c5n.com/economia/luis-caputo-entrevista-ln-15-mayo-2024
Economia;"Melconian criticó el método del Gobierno para bajar la inflación: ""Desfasaje absoluto""";Plan económico;https://www.c5n.com/economia/melconian-critico-el-metodo-del-gobierno-bajar-la-inflacion-n158185
Economia;Ocho de cada 10 argentinos están disconformes con los ajustes salariales que recibieron;"""Esta disparidad resalta la dificultad que enfrentan las empresas para cumplir con las expectativas salariales de sus empleados en un contexto económico complejo"".";https://www.lagaceta.com.ar/nota/1035454/economia/ocho-cada-10-argentinos-estan-disconformes-ajustes-salariales-recibieron.html
Economia;"Ropa, nafta, leche, prepagas: qué precios deberían bajar y cuáles aún están ""pisados"" frente a la inflación";La consultora Quantum hizo un ejercicio para medir las distorsiones en los precios relativos de la economía.Tomó como base los valores de 2019.Inflación y Precios Aumento de Tarifas;https://www.clarin.com//economia/ropa-nafta-leche-prepagas-precios-deberian-bajar-pisados-frente-inflacion_0_KIJmUgE0vE.html
Otras;Oleada de protestas en la educación contra las medidas del PP y Vox: “Es una ofensiva contra la pública”;Las comunidades gobernadas por los populares implantan sistemas de admisión que benefician a la concertada mientras suprimen aulas de la pública;https://elpais.com/https://elpais.com/educacion/2024-05-15/las-politicas-educativas-de-pp-y-vox-generan-una-ola-de-protestas-es-una-ofensiva-contra-la-escuela-publica.html
Otras;Cerveza, comida, lujo y ‘vintage’: Múnich se reivindica como destino de la vieja Europa;La capital bávara ha encontrado el modo de reivindicar su nobleza prusiana y combinarla con una gastronomía vibrante y una arquitectura despampanante;https://elpais.com/https://elpais.com/elviajero/escapadas/europa/2024-05-15/cerveza-comida-lujo-y-vintage-munich-se-reivindica-como-destino-de-la-vieja-europa.html
Otras;Una República Dominicana más allá de playas y palmeras;Explorando los montes y vegas de la cordillera Central desde Constanza, el enclave más frío de la isla, hasta Jánico, un pueblo de casas blancas;https://elpais.com/elviajero/2024-05-18/una-republica-dominicana-mas-alla-de-playas-y-palmeras.html
Otras;Gastón Duprat y Mariano Cohn: “En el fondo, Argentina no es para tanto. No sabemos en qué se basa su arrogancia”;Series como ‘El encargado’, ‘Nada’ o ‘Bellas artes’ y películas como ‘El ciudadano ilustre’ o ‘Competencia oficial’ les han convertido en los cineastas argentinos del momento. O los cineastas del momento, a secas. De ideas claras y lengua suelta;https://elpais.com/eps/2024-05-18/gaston-duprat-y-mariano-cohn-en-el-fondo-argentina-no-es-para-tanto-no-sabemos-en-que-se-basa-su-arrogancia.html
Otras;La palabra judío;En castellano la palabra judío todavía puede ser un insulto. Lo sostiene, entre otros, el ‘Diccionario’ de la RAE;https://elpais.com/eps/2024-05-18/la-palabra-judio.html
Deportes;La pregunta que todos se hacen en el Real Madrid: ¿qué va a pasar con Luka Modric y Toni Kroos?;La continuidad de ambos centrocampistas se antoja imposible. Aunque la decisión aún no está tomada, todo parece indicar que el croata sólo podría continuar la próxima temporada si el alemán decide retirarse;https://www.infobae.com/america/america-latina/2024/05/15/lula-da-silva-destituyo-al-presidente-de-la-petrolera-estatal-brasilena-petrobras/
Especial;¡Arranca con todo el Hot Days en el Corralón El Amigo!;Desde el 13 hasta el 18 de mayo, prepárate para disfrutar de ofertas explosivas y financia tus proyectos en hasta 6 cuotas sin interés.;https://www.eltribuno.com/salta/2024-5-14-0-16-0-arranca-con-todo-el-hot-days-en-el-corralon-el-amigo
Tecnologia;¿Cómo elegir la mejor laptop para diseño gráfico en 2024?;El diseño gráfico es una profesión que requiere de mucha creatividad, pero también de una herramienta adecuada para plasmar las ideas y proyectos.;https://www.eltribuno.com/tecnologia/2024-5-6-16-26-0-como-elegir-la-mejor-laptop-para-diseno-grafico-en-2024
Espectaculos;Martín Fierro Federal 2023: Salta tiene siete nominaciones;La Asociación de Periodistas de la Televisión y la Radiofonía Argentinas (APTRA) ya\xa0publicó la lista de los nominados para televisión y radio.;https://www.eltribuno.com/espectaculos/2024-5-14-18-5-0-martin-fierro-federal-2023-salta-tiene-siete-nominaciones
Espectaculos;Donato de Santis, de visita en Salta;El famoso cocinero visitó la localidad de Chicoana, y se encontró con la ganadora de la fiesta del tamal.;https://www.eltribuno.com/espectaculos/2024-5-14-21-10-0-donato-de-santis-de-visita-en-salta
Espectaculos;"Quién es ""La Gata"" Noelia, la cantante de cuarteto que ingresó a Gran Hermano";La artista cordobesa es uno de los nuevos ingresos del reality, quien entró este lunes como apoyo a Emmanuel.;https://www.eltribuno.com/espectaculos/2024-5-14-17-50-0-quien-es-la-gata-noelia-la-cantante-de-cuarteto-que-ingreso-a-gran-hermano
Espectaculos;El hermano de Luis Miguel comparte fotos inéditas de su madre desaparecida, Marcela Basteri;Se conocieron imágenes exclusivas de la madre del cantante.;https://www.eltribuno.com/espectaculos/2024-5-14-15-55-0-el-hermano-de-luis-miguel-comparte-fotos-ineditas-de-su-madre-desaparecida-marcela-basteri
